ip,day,ts,active,apparent,cos_phi,reactive,tension1_2,tension2_3,tension3_1
192.168.0.4,2022-10-04,2022-10-04 18:45:00+02:00,170680.0,172280.0,-0.9938,-11320.0,236.28,235.98,236.61
192.168.0.4,2022-10-04,2022-10-04 19:00:00+02:00,166813.0,168653.0,-0.9942,-10493.0,236.44,236.25,236.34
192.168.0.4,2022-10-04,2022-10-04 19:15:00+02:00,170400.0,170920.0,-0.9928,-10860.0,235.76,235.39,236.075
192.168.0.4,2022-10-04,2022-10-04 19:30:00+02:00,170267.0,170427.0,-0.9928,-10507.0,235.6833,235.6033,235.95
192.168.0.4,2022-10-04,2022-10-04 19:45:00+02:00,166480.0,169240.0,-0.9913,-13920.0,235.66,235.67,235.84
192.168.0.4,2022-10-04,2022-10-04 20:00:00+02:00,156160.0,157640.0,-0.9898,-14667.0,236.6667,236.6067,237.0033
192.168.0.4,2022-10-04,2022-10-04 20:15:00+02:00,153080.0,156140.0,-0.9882,-17140.0,237.29,237.365,237.5
192.168.0.4,2022-10-04,2022-10-04 20:30:00+02:00,161720.0,162840.0,-0.9902,-16060.0,237.625,237.53,237.9
192.168.0.4,2022-10-05,2022-10-05 10:00:00+02:00,111720.0,113240.0,-0.9828,-12900.0,235.83,235.54,235.44
192.168.0.4,2022-10-05,2022-10-05 10:15:00+02:00,111560.0,116080.0,-0.9832,-14480.0,236.78,236.55,236.59
192.168.0.4,2022-10-05,2022-10-05 10:30:00+02:00,101960.0,103187.0,-0.9792,-14293.0,237.06,236.7133,236.74
192.168.0.4,2022-10-05,2022-10-05 10:45:00+02:00,101040.0,104813.0,-0.9788,-13467.0,236.65,236.3967,236.3433
192.168.0.4,2022-10-05,2022-10-05 11:15:00+02:00,94213.0,95427.0,-0.9773,-13987.0,236.6267,236.19,236.49
192.168.0.4,2022-10-05,2022-10-05 11:30:00+02:00,97920.0,98800.0,-0.9825,-11960.0,237.02,236.73,237.05
192.168.0.4,2022-10-05,2022-10-05 11:45:00+02:00,77880.0,82320.0,-0.9692,-13440.0,237.84,237.6,237.685
192.168.0.4,2022-10-05,2022-10-05 12:00:00+02:00,58187.0,61067.0,-0.9322,-14120.0,238.81,238.78,239.14
192.168.0.4,2022-10-05,2022-10-05 12:15:00+02:00,64000.0,65800.0,-0.9536,-12520.0,239.43,239.37,239.7
192.168.0.4,2022-10-05,2022-10-05 12:30:00+02:00,77360.0,82980.0,-0.9686,-13600.0,238.42,238.17,238.455
192.168.0.4,2022-10-05,2022-10-05 12:45:00+02:00,65333.0,64773.0,-0.9355,-12000.0,238.3133,237.9733,238.24
192.168.0.4,2022-10-05,2022-10-05 13:00:00+02:00,74000.0,78520.0,-0.9567,-12600.0,238.63,238.21,238.65
192.168.0.4,2022-10-05,2022-10-05 13:15:00+02:00,79027.0,81747.0,-0.9619,-13853.0,238.63,238.5,238.6867
192.168.0.4,2022-10-05,2022-10-05 13:30:00+02:00,54460.0,59380.0,-0.9359,-12520.0,238.985,238.745,239.18
192.168.0.4,2022-10-05,2022-10-05 13:45:00+02:00,41160.0,51240.0,-0.9038,-13360.0,239.23,239.22,239.46
192.168.0.4,2022-10-05,2022-10-05 14:00:00+02:00,49120.0,53587.0,-0.8749,-12267.0,239.1933,238.8333,239.03
192.168.0.4,2022-10-05,2022-10-05 14:15:00+02:00,60900.0,64180.0,-0.9358,-13920.0,239.1,239.205,239.225
192.168.0.4,2022-10-05,2022-10-05 14:30:00+02:00,44380.0,46820.0,-0.9092,-13680.0,239.265,238.895,239.24
192.168.0.4,2022-10-05,2022-10-05 14:45:00+02:00,66540.0,70810.0,-0.9621,-12790.0,238.89,238.6375,238.805
192.168.0.4,2022-10-05,2022-10-05 15:00:00+02:00,73400.0,76813.0,-0.9633,-14187.0,239.5467,239.42,239.4467
192.168.0.4,2022-10-05,2022-10-05 15:15:00+02:00,66440.0,68300.0,-0.9576,-13600.0,239.295,239.025,239.365
192.168.0.4,2022-10-05,2022-10-05 15:30:00+02:00,53120.0,62240.0,-0.9498,-11840.0,239.31,238.77,238.92
192.168.0.4,2022-10-05,2022-10-05 16:00:00+02:00,85040.0,89840.0,-0.9697,-15200.0,239.46,238.72,239.05
192.168.0.4,2022-10-05,2022-10-05 16:15:00+02:00,89800.0,92600.0,-0.9687,-16440.0,239.395,238.995,239.425
192.168.0.4,2022-10-05,2022-10-05 16:30:00+02:00,95213.0,98507.0,-0.9734,-15693.0,239.11,238.78,239.2767
192.168.0.4,2022-10-05,2022-10-05 17:00:00+02:00,96380.0,102040.0,-0.9748,-14180.0,238.985,238.65,239.15
192.168.0.4,2022-10-05,2022-10-05 17:15:00+02:00,111460.0,111540.0,-0.981,-14820.0,238.715,238.1,238.72
192.168.0.4,2022-10-05,2022-10-05 17:30:00+02:00,110740.0,108220.0,-0.9802,-14640.0,238.35,237.955,238.295
192.168.0.4,2022-10-05,2022-10-05 17:45:00+02:00,129080.0,130420.0,-0.9877,-14040.0,238.21,237.87,237.965
192.168.0.4,2022-10-05,2022-10-05 18:00:00+02:00,132613.0,133347.0,-0.9871,-11813.0,237.8633,237.65,237.69
192.168.0.4,2022-10-05,2022-10-05 18:15:00+02:00,145940.0,146660.0,-0.9914,-10440.0,237.465,237.365,237.62
192.168.0.4,2022-10-05,2022-10-05 18:30:00+02:00,151520.0,150187.0,-0.989,-10227.0,237.4433,237.0833,237.7
192.168.0.4,2022-10-05,2022-10-05 18:45:00+02:00,167800.0,169500.0,-0.9934,-8840.0,236.98,237.005,236.96
192.168.0.4,2022-10-05,2022-10-05 19:00:00+02:00,159500.0,161620.0,-0.9928,-11300.0,237.255,236.855,237.35
192.168.0.4,2022-10-05,2022-10-05 19:15:00+02:00,168240.0,169080.0,-0.9925,-10520.0,236.535,235.76,236.595
