ip,day,ts,active,apparent,cos_phi,reactive,tension1_2,tension2_3,tension3_1
192.168.0.4,2022-11-01,2022-11-01 00:15:00+01:00,72040.0,75160.0,-0.9589,-15480.0,238.95,238.74,239.19
192.168.0.4,2022-11-01,2022-11-01 00:30:00+01:00,72200.0,75520.0,-0.959,-15240.0,239.43,239.25,239.46
192.168.0.4,2022-11-01,2022-11-01 00:45:00+01:00,65560.0,69240.0,-0.9522,-15040.0,239.73,239.665,239.935
192.168.0.4,2022-11-01,2022-11-01 01:00:00+01:00,64840.0,67627.0,-0.949,-15107.0,239.9267,239.88,240.2733
192.168.0.4,2022-11-01,2022-11-01 01:15:00+01:00,57460.0,61300.0,-0.9372,-15300.0,240.2,240.0,240.465
192.168.0.4,2022-11-01,2022-11-01 01:30:00+01:00,60240.0,63560.0,-0.9463,-15413.0,240.15,240.1233,240.34
192.168.0.4,2022-11-01,2022-11-01 01:45:00+01:00,58860.0,63260.0,-0.9504,-13520.0,240.525,240.41,240.85
192.168.0.4,2022-11-01,2022-11-01 02:00:00+01:00,59307.0,62920.0,-0.9443,-14213.0,240.4533,240.27,240.7333
192.168.0.4,2022-11-01,2022-11-01 02:15:00+01:00,56060.0,59340.0,-0.9412,-14680.0,240.585,240.35,240.765
192.168.0.4,2022-11-01,2022-11-01 02:30:00+01:00,56720.0,60267.0,-0.9489,-14173.0,240.32,240.18,240.5367
192.168.0.4,2022-11-01,2022-11-01 02:45:00+01:00,52040.0,55520.0,-0.9399,-14020.0,240.25,240.14,240.56
192.168.0.4,2022-11-01,2022-11-01 03:00:00+01:00,55133.0,58333.0,-0.9467,-13027.0,240.25,240.14,240.4667
192.168.0.4,2022-11-01,2022-11-01 03:15:00+01:00,53100.0,57540.0,-0.9418,-13540.0,240.23,240.18,240.67
192.168.0.4,2022-11-01,2022-11-01 03:30:00+01:00,54827.0,59493.0,-0.9386,-16333.0,240.29,240.13,240.5133
192.168.0.4,2022-11-01,2022-11-01 03:45:00+01:00,48040.0,52380.0,-0.9231,-14960.0,240.36,240.2,240.6
192.168.0.4,2022-11-01,2022-11-01 04:00:00+01:00,55720.0,59347.0,-0.9498,-13280.0,239.74,239.5133,240.0267
192.168.0.4,2022-11-01,2022-11-01 04:15:00+01:00,53820.0,56480.0,-0.9456,-13880.0,239.68,239.6,239.99
192.168.0.4,2022-11-01,2022-11-01 04:30:00+01:00,56027.0,59773.0,-0.9436,-14467.0,239.8433,239.7767,240.1833
192.168.0.4,2022-11-01,2022-11-01 04:45:00+01:00,55160.0,58520.0,-0.9465,-13140.0,240.38,240.26,240.585
192.168.0.4,2022-11-01,2022-11-01 05:00:00+01:00,54600.0,58267.0,-0.9502,-13787.0,239.8233,239.7767,240.08
192.168.0.4,2022-11-01,2022-11-01 05:15:00+01:00,56240.0,59320.0,-0.9509,-13100.0,239.9,239.425,239.96
192.168.0.4,2022-11-01,2022-11-01 05:30:00+01:00,58387.0,61600.0,-0.9567,-13227.0,240.02,239.81,240.16
192.168.0.4,2022-11-01,2022-11-01 05:45:00+01:00,58960.0,62080.0,-0.9561,-12520.0,239.68,239.605,240.01
192.168.0.4,2022-11-01,2022-11-01 06:00:00+01:00,59093.0,62987.0,-0.9502,-13893.0,239.6733,239.2867,239.8633
192.168.0.4,2022-11-01,2022-11-01 06:15:00+01:00,57400.0,60480.0,-0.9509,-13520.0,239.34,239.02,239.31
192.168.0.4,2022-11-01,2022-11-01 06:30:00+01:00,61707.0,63507.0,-0.9535,-14107.0,238.82,238.47,238.95
192.168.0.4,2022-11-01,2022-11-01 06:45:00+01:00,60220.0,63020.0,-0.9578,-13440.0,238.87,238.525,238.775
192.168.0.4,2022-11-01,2022-11-01 07:00:00+01:00,65547.0,67600.0,-0.9585,-14253.0,238.4633,237.9533,238.47
192.168.0.4,2022-11-01,2022-11-01 07:15:00+01:00,61940.0,67460.0,-0.9508,-15240.0,238.525,238.245,238.505
192.168.0.4,2022-11-01,2022-11-01 07:30:00+01:00,68080.0,70507.0,-0.9551,-13493.0,238.9867,238.77,239.2167
192.168.0.4,2022-11-01,2022-11-01 07:45:00+01:00,80760.0,84420.0,-0.9722,-10940.0,238.96,238.69,239.17
192.168.0.4,2022-11-01,2022-11-01 08:00:00+01:00,76107.0,78440.0,-0.965,-12413.0,239.05,238.7433,239.17
192.168.0.4,2022-11-01,2022-11-01 08:15:00+01:00,89720.0,91960.0,-0.9732,-13560.0,237.98,238.07,238.66
192.168.0.4,2022-11-01,2022-11-01 08:30:00+01:00,89960.0,91307.0,-0.9748,-13693.0,238.43,238.3,238.48
192.168.0.4,2022-11-01,2022-11-01 08:45:00+01:00,80360.0,83460.0,-0.9742,-13680.0,238.28,238.035,238.14
192.168.0.4,2022-11-01,2022-11-01 09:00:00+01:00,82760.0,85960.0,-0.9787,-11960.0,238.32,237.91,238.27
