ip,day,ts,active,apparent,cos_phi,reactive,tension1_2,tension2_3,tension3_1
192.168.0.4,2022-11-01,2022-11-01 00:00:00+01:00,69512.0,72936.0,-0.9563,-15208.0,239.454,239.314,239.596
192.168.0.4,2022-11-01,2022-11-01 01:00:00+01:00,60788.0,64268.0,-0.9461,-14920.0,240.168,240.083,240.447
192.168.0.4,2022-11-01,2022-11-01 02:00:00+01:00,56428.0,59928.0,-0.9442,-14256.0,240.399,240.233,240.646
192.168.0.4,2022-11-01,2022-11-01 03:00:00+01:00,53216.0,57332.0,-0.9386,-14508.0,240.28,240.157,240.548
192.168.0.4,2022-11-01,2022-11-01 04:00:00+01:00,55320.0,58736.0,-0.9464,-13728.0,239.887,239.759,240.178
192.168.0.4,2022-11-01,2022-11-01 05:00:00+01:00,56936.0,60240.0,-0.9535,-13228.0,239.869,239.682,240.066
192.168.0.4,2022-11-01,2022-11-01 06:00:00+01:00,60027.0,62889.0,-0.9531,-13822.0,239.1733,238.8156,239.2556
192.168.0.4,2022-11-01,2022-11-01 07:00:00+01:00,68628.0,71808.0,-0.9587,-13560.0,238.732,238.404,238.841
192.168.0.4,2022-11-01,2022-11-01 08:00:00+01:00,83182.0,85347.0,-0.9712,-13249.0,238.5533,238.3633,238.6544
192.168.0.4,2022-11-01,2022-11-01 09:00:00+01:00,79460.0,81213.0,-0.973,-10900.0,238.5033,238.1583,238.4567
192.168.0.4,2022-11-01,2022-11-01 10:00:00+01:00,74751.0,77338.0,-0.9629,-11987.0,238.8422,238.7289,239.05
192.168.0.4,2022-11-01,2022-11-01 11:00:00+01:00,63744.0,67672.0,-0.9453,-10632.0,238.439,238.48,238.823
192.168.0.4,2022-11-01,2022-11-01 12:00:00+01:00,57849.0,61093.0,-0.9444,-10800.0,238.4,238.5111,239.0189
192.168.0.4,2022-11-01,2022-11-01 13:00:00+01:00,47996.0,52924.0,-0.9066,-11388.0,238.826,238.889,239.248
192.168.0.4,2022-11-01,2022-11-01 14:00:00+01:00,40080.0,43867.0,-0.9166,-9978.0,238.6767,238.3878,238.8056
192.168.0.4,2022-11-01,2022-11-01 15:00:00+01:00,67792.0,70988.0,-0.9622,-9908.0,237.865,237.585,238.151
192.168.0.4,2022-11-01,2022-11-01 16:00:00+01:00,84551.0,85858.0,-0.9729,-11098.0,236.0544,235.8478,236.4155
192.168.0.4,2022-11-01,2022-11-01 17:00:00+01:00,113880.0,117809.0,-0.9791,-12218.0,235.8878,235.65,236.22
192.168.0.4,2022-11-01,2022-11-01 18:00:00+01:00,154935.0,157070.0,-0.9893,-12980.0,236.4187,236.3475,236.7375
192.168.0.4,2022-11-01,2022-11-01 19:00:00+01:00,155820.0,157330.0,-0.9887,-12400.0,238.0575,237.8937,238.12
192.168.0.4,2022-11-01,2022-11-01 20:00:00+01:00,132933.0,134560.0,-0.9832,-14340.0,238.87,238.465,239.045
192.168.0.4,2022-11-01,2022-11-01 21:00:00+01:00,111811.0,114349.0,-0.9817,-14109.0,238.88,238.7828,239.0314
192.168.0.4,2022-11-01,2022-11-01 22:00:00+01:00,103750.0,106640.0,-0.9786,-13570.0,238.185,237.8825,238.205
192.168.0.4,2022-11-01,2022-11-01 23:00:00+01:00,77520.0,80497.0,-0.9637,-15446.0,239.4629,239.3943,239.5986
192.168.0.4,2022-11-02,2022-11-02 00:00:00+01:00,71332.0,73916.0,-0.9605,-14512.0,239.585,239.602,239.847
192.168.0.4,2022-11-02,2022-11-02 01:00:00+01:00,64836.0,67498.0,-0.9536,-13760.0,240.0778,240.1611,240.3522
192.168.0.4,2022-11-02,2022-11-02 02:00:00+01:00,62520.0,65360.0,-0.9535,-14630.0,240.6037,240.5787,240.8362
192.168.0.4,2022-11-02,2022-11-02 03:00:00+01:00,55751.0,59520.0,-0.9422,-15484.0,240.7667,240.7022,240.9756
192.168.0.4,2022-11-02,2022-11-02 04:00:00+01:00,57733.0,60844.0,-0.9513,-13449.0,240.7422,240.6611,240.8755
192.168.0.4,2022-11-02,2022-11-02 05:00:00+01:00,61989.0,65194.0,-0.9551,-12897.0,240.49,240.4643,240.75
192.168.0.4,2022-11-02,2022-11-02 06:00:00+01:00,69388.0,72352.0,-0.9587,-14660.0,238.65,238.754,239.098
192.168.0.4,2022-11-02,2022-11-02 07:00:00+01:00,86307.0,88529.0,-0.9736,-13196.0,238.1856,238.3378,238.62
192.168.0.4,2022-11-02,2022-11-02 08:00:00+01:00,102105.0,101450.0,-0.9815,-11935.0,238.3125,237.9937,238.5537
192.168.0.4,2022-11-02,2022-11-02 09:00:00+01:00,93785.0,95025.0,-0.9798,-11080.0,238.49,238.2775,238.63
192.168.0.4,2022-11-02,2022-11-02 10:00:00+01:00,78824.0,81452.0,-0.9726,-11252.0,239.49,239.224,239.469
